"ZCTA","Post Office Name","State","HCP: Health Center Count ( Combined ) 2019","HCP: Dominant Health Center 2019","Pop: Total (#) 2015-2019","Pop: Low-Income (#) 2015-2019","HCP: Total Patients (#) 2019","HCP: Penetration of Low-Income (%)","HCP: Penetration of Total Population (%)","HCP: Penetration of Uninsured Population (%)","HCP: Penetration of Medicaid/ Public Ins. (%)","HCP: Penetration of Medicare/ Private Ins. (%)","HCP: 1-yr Change in Patients (%) 2018, 2019","HCP: 2-yr Change in Patients (%) 2017, 2019","HCP: 2-yr Change in Patients (#) 2017, 2019","HCP: 1-yr Change in Uninsured (%) 2018, 2019","HCP: 2-yr Change in Uninsured (%) 2017, 2019","HCP: 1-yr Change in Medicaid/ Public Ins. (%) 2018, 2019","HCP: 2-yr Change in Medicaid/ Public Ins. (%) 2017, 2019","HCP: 1-yr Change in Medicare/ Private Ins. (%) 2018, 2019","HCP: 2-yr Change in Medicare/ Private Ins. (%) 2017, 2019","HCP: Low-Income Not Served by Health Centers (#)","HCP: Uninsured Not Served by Health Centers (#)","HCP: Medicaid/ Public Ins. Not Served by Health Centers (#)","HCP: Medicare/ Private Ins. Not Served by Health Centers (#)","HCP: Total Population Not Served by Health Centers (#)","HCP: Uninsured (%) 2019","HCP: Uninsured (#) 2019","HCP: Medicaid/ Public Ins (%) 2019","HCP: Medicaid/ Public Ins (#) 2019","HCP: Medicare/ Private Ins. (%) 2019","HCP: Medicare/ Private Ins. (#) 2019","Pop: Poverty (%) 2015-2019","Pop: Low-Income (%) 2015-2019","Pop: Racial/ Ethnic Minority (%) 2015-2019","Pop: Hispanic/Latino (%) 2015-2019","Pop: Black (%) 2015-2019","Pop: Asian (%) 2015-2019","Pop: American Indian/Alaska Native (%) 2015-2019","Pop: Native Hawaiian (%) 2015-2019","Pop: Other Pacific Islander (%) 2015-2019","Pop: White (%) 2015-2019","Pop: More than One Race (%) 2015-2019","Pop: Uninsured, Est. (%) 2019","Pop: Uninsured, Est. (#) 2019","Pop: 1-yr Change in Uninsured, Est. (%) 2018, 2019","Pop: 2-yr Change in Uninsured, Est. (%) 2017, 2019","Pop: Medicaid/ Public Ins., Est. (%) 2019","Pop: Medicaid/ Public Ins., Est. (#) 2019","Pop: 1-yr Change in Medicaid/ Public Ins., Est. (%) 2018, 2019","Pop: 2-yr Change in Medicaid/ Public Ins., Est. (%) 2017, 2019","Pop: Medicare/ Private Ins., Est. (%) 2019","Pop: Medicare/ Private Ins., Est. (#) 2019","Pop: 1-yr Change in Medicare/ Private Ins., Est. (%) 2018, 2019","Pop: 2-yr Change in Medicare/ Private Ins., Est. (%) 2017, 2019","Pop: 1-yr Change in Total Population (%) 2018, 2019","Pop: 2-yr Change in Total Population (%) 2017, 2019","Pop: Under 18 (%) 2015-2019","Pop: School-Aged Children (%) 2015-2019","Pop: 18-64 (%) 2015-2019","Pop: 65 and older (%) 2015-2019","Pop: Not Employed (%) 2015-2019","Pop: Households with Limited English Proficiency (%) 2015-2019","Pop: Less Than High School Education (%) 2015-2019","Pop: Veterans (%) 2015-2019","Pop: Disability (%) 2015-2019","Pop: Low Birth Weight Rate, Est. 2017","Pop: Age-Adjusted Mortality Rate (per 100,000), Est. 2013-2016","Pop: Adults Ever Told Have Diabetes, Est. (%) 2017","Pop: Adults Ever Told Have High Blood Pressure, Est. (%) 2017","Pop: Adults Who Are Obese, Est. (%) 2017","Pop: Adults with No Dental Visit in Past Year, Est. (%) 2017","Pop: Adults Who Have Delayed/ Not Sought Care Due to Cost, Est. (%) 2017","Pop: Adults with No Usual Source of Care, Est. (%) 2017","Pop: Adults Who Are Binge Drinkers, Est. (%) 2017","Pop: Adults Who Smoke, Est. (%) 2017","Pop: Uninsured Population below 138% FPL (%) 2015-2019","Pop: Uninsured Population below 200% FPL (%) 2015-2019","Pop: Uninsured Population at 138%-400% FPL (%) 2015-2019","HCP: Dominant Health Center Serving ZCTA (Share of Patients) 2019","HCP: #2 Health Center Serving ZCTA 2019","HCP: #2 Health Center (Share of Patients) 2019","HCP: #3 Health Center Serving ZCTA 2019","HCP: #3 Health Center (Share of Patients) 2019","HCP: #4 Health Center Serving ZCTA 2019","HCP: #4 Health Center Serving ZCTA (Share of Patients) 2019","HCP: #5 Health Center Serving ZCTA 2019","HCP: #5 Health Center (Share of Patients) 2019"
"37380","South Pittsburg","TN","2","ERLANGER MEDICAL CENTER","6261","2515","45","0.0178926441","0.0071873503","0.0211442786","0.0040622884","0.0052719866","-0.318181818","0.2857142857","10","-0.433333333","-0.055555556","-0.538461538","1","-0.043478261","0.5714285714","2470","787","1471","4151","6216","0.3777777778","17","0.1333333333","6","0.4888888889","22","0.19315564","0.41378743","0.14055263","0.00191663","0.06245009","0.01533301","0.000639","0","0","0.86072512","0.06","0.1245739077","804","0.2053973013","0.1893491124","0.2288503254","1477","0.0013559322","0.3663274746","0.646575767","4173","0.0471769134","-0.09772973","-0.022024367","-0.054229607","0.219","0.175","0.581","0.1998083373","0.503799","0","0.167542","0.105","0.263","0.088592529296875","0.009518645629882812","0.13","0.39799999237060546","0.33","0.5079999923706054","0.13100000381469726","0.18799999237060547","0.13","0.20899999618530274","0.548","0.58","0.417","0.7333333333","PRIMARY HEALTH CARE CENTER OF DADE, INC","0.2666666667","null","0","null","0","null","0"
"37387","Tracy City","TN","1","OCOEE REGIONAL HEALTH CORPORATION","2883","949","207","0.2181243414","0.0718002081","0.1012987013","0.0731707317","0.0582226762","-0.03271028","-0.088105727","-20","0.0263157895","-0.152173913","-0.129032258","-0.27027027","0","0.0654205607","742","346","684","1844","2676","0.1884057971","39","0.2608695652","54","0.5507246377","114","0.13351878","0.32997218","0.14429414","0","0.01907735","0","0.002081","0","0","0.85570586","0.12","0.1249594288","385","0.09375","0.0490463215","0.2395326193","738","-0.17264574","-0.00135318","0.635507952","1958","0.0442666667","0.1331018519","-0.073586118","-0.03964024","0.162","0.126","0.594","0.2438432189","0.489388","0","0.229204","0.073","0.279","0.08157872408628464","0.0089756201171875","0.14399999618530274","0.42900001525878906","0.37400001525878906","0.575999984741211","0.15399999618530275","0.22399999618530272","0.12199999809265137","0.25799999237060545","0.336","0.529","0.645","1","null","0","null","0","null","0","null","0"
"37388","Tullahoma","TN","2","RUTHERFORD COUNTY PRIMARY CARE INC.","25367","9676","58","0.0059942125","0.0022864351","0.011814346","0.0017648356","0.0012174875","0","0.3488372093","15","0.0769230769","0.1666666667","-0.2","1","0","0.4666666667","9618","2342","4525","18048","25309","0.4827586207","28","0.1379310345","8","0.3793103448","22","0.15726496","0.38465514","0.1356881","0.04509796","0.06094532","0.01411282","0.000315","0","0","0.88082942","0.018","0.0949024947","2370","0.0533333333","0.2006079027","0.1815160373","4533","-0.079967526","0.103725347","0.723581468","18070","-0.006159938","-0.060273545","-0.005644624","0.0066669312","0.238","0.172","0.569","0.1926518705","0.438669","0.0032476836","0.120791","0.113","0.201","0.07425585389137268","0.009170695190429687","0.14199999809265137","0.40700000762939453","0.3039999961853027","0.5409999847412109","0.13","0.185","0.12199999809265137","0.21","0.418","0.549","0.461","0.724137931","TENNESSEE STATE DEPARTMENT OF HEALTH","0.275862069","null","0","null","0","null","0"
"37060","Eagleville","TN","2","MERCY HEALTH SERVICES, INC.","2767","476","67","0.1407563025","0.0242139501","0.1061452514","0.0794701987","0.0095275903","0.0634920635","-0.082191781","-6","1.1111111111","0.0555555556","-0.076923077","-0.294117647","-0.142857143","0.1428571429","409","160","278","2495","2700","0.2835820896","19","0.3582089552","24","0.3582089552","24","0.04051095","0.17372263","0.04662089","0.03035779","0.01192627","0","0","0","0","0.9837369","0.004","0.0596666667","179","0.0287356322","-0.091370558","0.1006666667","302","-0.119533528","0.044982699","0.8396666667","2519","0.1782039289","0.2058401149","0.1804607509","0.2227132125","0.241","0.182","0.604","0.154680159","0.372567","0","0.130478","0.102","0.182","0.07205332070589066","0.00809623779296875","0.12699999809265136","0.40299999237060546","0.35700000762939454","0.17399999618530274","0.13399999618530273","0.19100000381469726","0.13199999809265137","0.21","0.277","0.33","0.287","0.5223880597","RUTHERFORD COUNTY PRIMARY CARE INC.","0.4776119403","null","0","null","0","null","0"
"37062","Fairview","TN","4","MERCY HEALTH SERVICES, INC.","12185","3080","477","0.1548701299","0.0391464916","0.0778210117","0.2090997096","0.0172775869","-0.077369439","0.0170575693","8","0.0256410256","-0.292035398","-0.169230769","-0.1","0.0111731844","0.5603448276","2603","948","817","10295","11708","0.1677148847","80","0.4528301887","216","0.3794549266","181","0.073465","0.25452442","0.09249077","0.03873615","0.02970866","0.00188757","0.005416","0","0","0.93787444","0.021","0.081997288","1028","0.2194543298","-0.018147087","0.0823961075","1033","0.1095596133","0.090813094","0.8356066045","10476","0.0097349398","0.018273717","0.0382583504","0.0722456881","0.246","0.201","0.623","0.1311448502","0.356342","0.0027227723","0.144382","0.075","0.142","0.05780784413218498","0.006078975219726563","0.14","0.36200000762939455","0.29200000762939454","0.11300000190734863","0.13600000381469726","0.17600000381469727","0.14","0.17","0.379","0.557","0.51","0.8050314465","PERRY COUNTY MEDICAL CENTER, INC.","0.142557652","UNIVERSITY COMMUNITY HEALTH SERVICES, INC. D/B/A CONNECTUS HEALTH","0.0272536688","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","0.0251572327","null","0"
"37064","Franklin","TN","6","MERCY HEALTH SERVICES, INC.","58937","10332","3868","0.3743708866","0.0656294009","0.2551199532","0.4144670051","0.0256169301","0.0251789027","-0.242904678","-1241","-0.126252505","-0.237095363","-0.18553616","-0.469288268","0.7701298701","0.5331833521","6464","2546","2307","51844","55069","0.2254395036","872","0.4221820062","1633","0.3523784902","1363","0.06430797","0.17591473","0.18244906","0.07574189","0.07192426","0.02120909","0.000238","0","0","0.88533519","0.015","0.0564352349","3418","0.2701597919","-0.032002266","0.0650540741","3940","0.1946634324","0.3419618529","0.878510691","53207","0.0294675335","0.0636507207","0.0405360075","0.0587992239","0.246","0.184","0.606","0.1483957446","0.341046","0.0102125693","0.070374","0.059","0.105","0.055692173540592194","0.005991876831054688","0.12100000381469726","0.34700000762939454","0.27700000762939453","0.11","0.14899999618530274","0.24","0.14600000381469727","0.16700000762939454","0.311","0.458","0.477","0.9570837642","UNIVERSITY COMMUNITY HEALTH SERVICES, INC. D/B/A CONNECTUS HEALTH","0.012409514","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","0.0111168563","MATTHEW WALKER HEALTH CENTER","0.009565667","MAURY REGIONAL HOSPITAL","0.0067218201"
"37067","Franklin","TN","4","MERCY HEALTH SERVICES, INC.","29543","3568","933","0.2614910314","0.0315810852","0.1673525377","0.1811824539","0.0141219239","0.1364190012","-0.019957983","-19","0.0338983051","-0.035573123","0.0251798561","-0.233870968","0.3159609121","0.2354740061","2635","1214","1288","28204","28610","0.2615219721","244","0.3054662379","285","0.4330117899","404","0.05457147","0.12154244","0.2308161","0.03801239","0.03906171","0.12358257","0.000982","0","0","0.79961412","0.031","0.0460823667","1458","0.0978915663","-0.183650616","0.0497171213","1573","0.0025493945","0.2025993884","0.904200512","28608","-0.000419287","0.0264432564","-0.001757054","0.0267611997","0.225","0.153","0.65","0.125105778","0.299168","0.036073177","0.027743","0.059","0.092","0.06167031079530716","0.0055690753173828125","0.115","0.35","0.255","0.11","0.11899999618530273","0.17799999237060546","0.13800000190734862","0.15600000381469725","0.254","0.462","0.552","0.9303322615","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","0.0300107181","UNIVERSITY COMMUNITY HEALTH SERVICES, INC. D/B/A CONNECTUS HEALTH","0.0278670954","MATTHEW WALKER HEALTH CENTER","0.011789925","null","0"
"37069","Franklin","TN","2","MERCY HEALTH SERVICES, INC.","20467","1297","362","0.2791056284","0.0176870084","0.0870253165","0.1384790011","0.0093713591","0.2439862543","0.1907894737","58","0.4102564103","0.0784313725","0.0701754386","-0.089552239","0.3405797101","0.5546218487","935","577","759","19556","20105","0.1519337017","55","0.3370165746","122","0.5110497238","185","0.03151919","0.06347886","0.08213221","0.01436459","0.02467387","0.01661211","0","0","0.001","0.9307666","0.026","0.0297355792","632","-0.063703704","-0.370517928","0.041451021","881","-0.062765957","0.0823095823","0.9288133998","19741","-0.030164579","-0.012258581","0.0113153474","0.0258119487","0.279","0.239","0.574","0.1469194313","0.351275","0.0019951546","0.014494","0.053","0.09","0.0580998957157135","0.005970294189453125","0.09600000381469727","0.32099998474121094","0.27","0.10899999618530273","0.12199999809265137","0.175","0.15199999809265136","0.16100000381469726","0.166","0.194","0.602","0.9696132597","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","0.0303867403","null","0","null","0","null","0"
"37207","Nashville","TN","4","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","39544","19316","4595","0.2378856906","0.1161996763","0.4163679809","0.1558715698","0.0448545588","-0.010977185","-0.012465076","-58","-0.114358323","-0.04564126","0.106466877","-0.020935101","0.0825958702","0.0699708455","14721","2931","7598","23445","34949","0.4550598477","2091","0.3053318825","1403","0.2396082699","1101","0.25243729","0.49040317","0.78153449","0.09075966","0.66525895","0.00910378","0.00172","0","0","0.28191382","0.013","0.1302081983","5022","-0.166334661","-0.088896952","0.2333739532","9001","0.0124859393","-0.196267524","0.6364178485","24546","0.0787079763","0.0422487368","0.0249073426","0.0528221512","0.271","0.193","0.612","0.1171353429","0.382636","0.0242806359","0.165609","0.073","0.197","0.10805671662092209","0.008615278930664062","0.17799999237060546","0.46700000762939453","0.37900001525878907","0.17399999618530274","0.17700000762939452","0.21399999618530274","0.10699999809265137","0.19","0.414","0.588","0.455","0.7025027203","MATTHEW WALKER HEALTH CENTER","0.2476605005","UNIVERSITY COMMUNITY HEALTH SERVICES, INC. D/B/A CONNECTUS HEALTH","0.0433079434","MERCY HEALTH SERVICES, INC.","0.0065288357","null","0"
"37208","Nashville","TN","3","MATTHEW WALKER HEALTH CENTER","18011","9006","2075","0.2304019543","0.1152073733","0.4488825487","0.1669570267","0.0455476366","0.011208577","-0.083075563","-188","-0.098376313","-0.111947319","0.036036036","-0.149408284","0.2355555556","0.0610687023","6931","1159","2869","11651","15936","0.454939759","944","0.2771084337","575","0.2679518072","556","0.30844439","0.52412268","0.73366276","0.02304147","0.66820276","0.01254789","0.001999","0","0","0.28638055","0.028","0.1184521798","2103","-0.1509891","-0.222550832","0.1939844542","3444","-0.348097672","-0.200742632","0.687563366","12207","0.1903461726","0.2452310517","0.0243999545","0.0346986844","0.209","0.164","0.691","0.0996613181","0.372277","0.0086531226","0.166765","0.052","0.179","0.1144292950630188","0.008922369995117188","0.3170000076293945","0.6220000076293946","0.3160000038146973","0.16899999618530273","0.11899999618530273","0.15600000381469725","0.05900000095367432","0.15199999809265136","0.536","0.66","0.348","0.4934939759","UNITED NEIGHBORHOOD HEALTH SERVICES, INC DBA NBHD HLTH","0.4636144578","UNIVERSITY COMMUNITY HEALTH SERVICES, INC. D/B/A CONNECTUS HEALTH","0.0428915663","null","0","null","0"
